TambonID;TambonThaiShort;TambonEngShort;PostCodeMain;PostCodeAll;PostalCodeRemark;DistrictID;DistrictThaiShort;DistrictEngShort;ProvinceID;ProvinceThai;ProvinceEng;ภูมิภาคอย่างเป็นทางการ
100703;ปทุมวัน;Pathum Wan;10330;10330;;1007;ปทุมวัน;Pathum Wan;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100704;ลุมพินี;Lumphini;10330;10330;;1007;ปทุมวัน;Pathum Wan;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100801;ป้อมปราบ;Pom Prap;10100;10100;;1008;ป้อมปราบศัตรูพ่าย;Pom Prap Sattru Phai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100802;วัดเทพศิรินทร์;Wat Thep Sirin;10100;10100;;1008;ป้อมปราบศัตรูพ่าย;Pom Prap Sattru Phai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100803;คลองมหานาค;Khlong Maha Nak;10100;10100;;1008;ป้อมปราบศัตรูพ่าย;Pom Prap Sattru Phai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100804;บ้านบาตร;Ban Bat;10100;10100;;1008;ป้อมปราบศัตรูพ่าย;Pom Prap Sattru Phai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100805;วัดโสมนัส;Wat Sommanat;10100;10100;;1008;ป้อมปราบศัตรูพ่าย;Pom Prap Sattru Phai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100905;บางจาก;Bang Chak;10260;10260;;1009;พระโขนง;Phra Khanong;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100910;พระโขนงใต้;Phra Khanong Tai;10260;10260;;1009;พระโขนง;Phra Khanong;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101001;มีนบุรี;Min Buri;10510;10510;;1010;มีนบุรี;Min Buri;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101002;แสนแสบ;Saen Saep;10510;10510;;1010;มีนบุรี;Min Buri;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101101;ลาดกระบัง;Lat Krabang;10520;10520;;1011;ลาดกระบัง;Lat Krabang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
